Player,Twitter,Tm
Amir Johnson,IamAmirJohnson,BOS
Avery Bradley,None,BOS
David Lee,Dlee042,BOS
Evan Turner,thekidet,BOS
Isaiah Thomas,Isaiah_Thomas2,BOS
Jae Crowder,CJC9BOSS,BOS
James Young,realjamesyoung,BOS
Jared Sullinger,Jared_Sully0,BOS
JoNones Jerebko,None,BOS
Jordan Mickey,Jmickey_02,BOS
Kelly Olynyk,KellyOlynyk,BOS
Marcus Smart,smart_MS3,BOS
R.J. Hunter,RJHunter22,BOS
Terry Rozier,T_Rozzay3,BOS
Tyler Zeller,ZellerTyler,BOS
Aaron Harrison,AaronICE2,CHO
Al Jefferson,None,CHO
Brian Roberts,None,CHO
Cody Zeller,CodyZeller,CHO
Frank Kaminsky,FSKPart3,CHO
Jeremy Lamb,None,CHO
Jeremy Lin,JLin7,CHO
Kemba Walker,KembaWalker,CHO
Marvin Williams,None,CHO
Nicolas Batum,nicolas88batum,CHO
P.J. Hairston,hairston_pj,CHO
Spencer Hawes,spencerhawes00,CHO
Troy Daniels,MrSuPeRsTar_30,CHO
Tyler Hansbrough,THANS50,CHO
Danilo GalliNoneri,galliNoneri8888,DEN
Darrell Arthur,DarrellArthur00,DEN
Emmanuel Mudiay,emmanuelmudiay,DEN
Erick Green,ErickGreen,DEN
Gary Harris,thats_G_,DEN
J.J. Hickson,None,DEN
Jameer Nelson,jameernelson,DEN
Joffrey Lauvergne,1JOLOLO,DEN
Jusuf Nurkic,nurkic23,DEN
Kenneth Faried,KennethFaried35,DEN
Kostas Papanikolaou,PapanikolaouHub,DEN
Mike Miller,m33m,DEN
Nikola Jokic,NJokic15,DEN
Randy Foye,randyfoye,DEN
Sean Kilpatrick,SeanKilpatrick_,DEN
Will Barton,WillTheThrillB5,DEN
Chuck Hayes,c_hayes44,HOU
Clint Capela,CapelaClint,HOU
Corey Brewer,CoreyBrewer13,HOU
DoNonetas MotiejuNones,DoNonetasMot,HOU
Dwight Howard,DwightHoward,HOU
James Harden,JHarden13,HOU
Jason Terry,jasonterry31,HOU
Josh Smith,TooSmoove5,HOU
K.J. McDaniels,KJMcDaniels,HOU
Marcus Thornton,M3Thornton,HOU
Montrezl Harrell,MONSTATREZZ,HOU
Patrick Beverley,patbev21,HOU
Sam Dekker,dekker,HOU
Terrence Jones,TerrenceJones1,HOU
Trevor Ariza,TrevorAriza,HOU
Ty Lawson,TyLawson3,HOU
Anthony Brown,TwoShotOne,LAL
Brandon Bass,bestbetbass,LAL
D'Angelo Russell,Dloading,LAL
Jordan Clarkson,JClark5on,LAL
Julius Randle,J30_RANDLE,LAL
Kobe Bryant,kobebryant,LAL
Larry Nonence Jr.,Larrydn22,LAL
Lou Williams,TeamLou23,LAL
Marcelo Huertas,Huertas09,LAL
Metta World Peace,MettaWorldPeace,LAL
Nick Young,NickSwagyPYoung,LAL
Robert Sacre,Bobby_Sacre,LAL
Roy Hibbert,Hoya2aPacer,LAL
Ryan Kelly,RyanKelly34,LAL
Tarik Black,None,LAL
Chris Copeland,None,MIL
Damien Inglis,DamienINGLIS,MIL
Giannis Antetokounmpo,GiannisBrasil,MIL
Greg Monroe,M10OSE,MIL
Greivis Vasquez,greivisvasquez,MIL
Jabari Parker,JabariParker,MIL
Jerryd Bayless,jerrydbayless,MIL
John Henson,Johnhenson31,MIL
Johnny O'Bryant,OBryant_The3rd,MIL
Khris Middleton,Khris22m,MIL
Michael Carter-Williams,MCW1,MIL
Miles Plumlee,milesplumlee13,MIL
O.J. Mayo,None,MIL
Rashad Vaughn,ShowtimeMr1,MIL
Tyler Ennis,tdot_ennis,MIL
Arron Afflalo,arroNonefflalo,NYK
Carmelo Anthony,carmeloanthony,NYK
Cleanthony Early,Clearly_BallLyf,NYK
Derrick Williams,RealDwill7,NYK
Jerian Grant,JerianGrant,NYK
Jose Calderon,JmCalderon3,NYK
Kevin Seraphin,kevin_seraphin,NYK
Kristaps Porzingis,kporzee,NYK
Kyle O'Quinn,Kyle_OQuinn,NYK
Lance Thomas,None,NYK
Langston Galloway,LangGalloway10,NYK
Lou Amundson,LouAmundson17,NYK
Robin Lopez,eegabeeva88,NYK
Sasha Vujacic,SashaVujacic,NYK
Carl Landry,CarlLandry24,PHI
Christian Wood,Chriswood_5,PHI
Hollis Thompson,htdahot_twitta,PHI
Isaiah CaNonean,SiP03,PHI
Ish Smith,ishsmith,PHI
Jahlil Okafor,JahlilOkafor,PHI
JaKarr Sampson,KarrSampson14,PHI
Jerami Grant,JeramiGrant,PHI
Kendall Marshall,KButter5,PHI
Nerlens Noel,NerlensNoel3,PHI
Nik Stauskas,NStauskas11,PHI
Phil Pressey,philpressey,PHI
Richaun Holmes,Rich_Holmes22,PHI
Robert Covington,Holla_At_Rob33,PHI
T.J. McConnell,None,PHI
Tony Wroten,TWroten_LOE,PHI
Ben McLemore,BenMcLemore,SAC
Caron Butler,realtuffjuice,SAC
Darren Collison,Darren_Collison,SAC
DeMarcus Cousins,boogiecousins,SAC
Eric Moreland,EricMoreland15,SAC
James Anderson,25_Anderson,SAC
Kosta Koufos,kostakoufos,SAC
Marco Belinelli,marcobelinelli,SAC
Omri Casspi,Casspi18,SAC
Quincy Acy,QuincyAcy,SAC
Rajon Rondo,RajonRondo,SAC
Rudy Gay,rudygay22,SAC
Seth Curry,sdotcurry,SAC
Willie Cauley-Stein,THEwillieCS15,SAC
Al Horford,Al_Horford,ATL
Dennis Schroder,DennisMike93,ATL
Jeff Teague,Teague0,ATL
Justin Holiday,JustHolla7,ATL
Kent Bazemore,None,ATL
Kyle Korver,KyleKorver,ATL
Lamar Patterson,LP21_,ATL
Mike Muscala,mikemuscala,ATL
Mike Scott,mikescott,ATL
Paul Millsap,Paulmillsap4,ATL
Shelvin Mack,ShelvinMack,ATL
Thabo Sefolosha,ThaboSefolosha,ATL
Tiago Splitter,tiagosplitter,ATL
Tim Hardaway,TimHardawayFDN,ATL
Walter Tavares,waltertavares22,ATL
Aaron Brooks,Thirty2zero,CHI
Bobby Portis,BPortistime,CHI
Cameron Bairstow,cbairstow41,CHI
Cristiano Felicio,felicio_21,CHI
Derrick Rose,drose,CHI
Doug McDermott,dougmcd3,CHI
E'Twaun Moore,ETwaun55,CHI
Jimmy Butler,JimmyButler,CHI
Joakim Noah,JoakimNoah,CHI
Kirk Hinrich,TheRealHinrich,CHI
Nikola Mirotic,threekola,CHI
Pau Gasol,paugasol,CHI
Taj Gibson,TajGibson22,CHI
Tony Snell,TonySnell20,CHI
Chandler Parsons,ChandlerParsons,DAL
Charlie Villanueva,CVBelieve,DAL
Deron Williams,DeronWilliams,DAL
Devin Harris,Dev34Harris,DAL
Dirk Nowitzki,swish41,DAL
Dwight Powell,DwightPowell33,DAL
J.J. Barea,jjbareapr,DAL
JaVale McGee,JaValeMcGee34,DAL
Jeremy Evans,JeremyEvans40,DAL
John Jenkins,JohnnyCashVU23,DAL
Justin Anderson,JusAnderson1,DAL
Raymond Felton,RFeltonGBMS,DAL
Salah Mejri,50Mejri,DAL
Wesley Matthews,WessyWes23,DAL
Zaza Pachulia,zaza27,DAL
Andre Iguodala,andre,GSW
Andrew Bogut,andrewbogut,GSW
Brandon Rush,BRush_25,GSW
Draymond Green,Money23Green,GSW
Festus Ezeli,festus,GSW
Harrison Barnes,hbarnes,GSW
Ian Clark,IanClark,GSW
James Michael McAdoo,jamesmcadoo,GSW
Jason Thompson,jtthekid,GSW
Klay Thompson,KlayThompson,GSW
Leandro Barbosa,TheBlurBarbosa,GSW
Marreese Speights,Mospeights16,GSW
Shaun Livingston,ShaunLivingston,GSW
Stephen Curry,StephenCurry30,GSW
Austin Rivers,AustinRivers25,LAC
Blake Griffin,blakegriffin32,LAC
Branden Dawson,whynot_22,LAC
C.J. Wilcox,UCjwilcox23W,LAC
Chris Paul,CP3,LAC
Cole Aldrich,colea45,LAC
DeAndre Jordan,deandrejordan6,LAC
J.J. Redick,JJRedick,LAC
Jamal Crawford,JCrossover,LAC
Jeff Ayres,None,LAC
Lance Stephenson,StephensonLance,LAC
Luc Mbah a Moute,mbahamoute,LAC
Pablo Prigioni,PPrigioni9,LAC
Paul Pierce,paulpierce34,LAC
Wesley Johnson,WesJohnson4,LAC
Amar'e Stoudemire,Amareisreal,MIA
Chris Andersen,Birdmandersen,MIA
Chris Bosh,chrisbosh,MIA
Dwyane Wade,DwyaneWade,MIA
Gerald Green,None,MIA
Goran Dragic,Goran_Dragic,MIA
Hassan Whiteside,youngwhiteside,MIA
Josh McRoberts,None,MIA
Josh Richardson,J_Rich1,MIA
Justise Winslow,IAmJustise,MIA
Luol Deng,LuolDeng9,MIA
Mario Chalmers,mchalmers15,MIA
Tyler Johnson,RealTJohnson,MIA
Udonis Haslem,ThisIsUD,MIA
Alexis Ajinca,AjincaAlexis42,NOP
Alonzo Gee,GeeAlonzo,NOP
Anthony Davis,AntDavis23,NOP
Bryce Dejean-Jones,B2nyce,NOP
Dante Cunningham,DlamarC33,NOP
Eric Gordon,TheofficialEG10,NOP
Jimmer Fredette,jimmerfredette,NOP
Jrue Holiday,Jrue_Holiday11,NOP
Kendrick Perkins,KendrickPerkins,NOP
Luke Babbitt,RealBabbitt08,NOP
Nate Robinson,nate_robinson,NOP
Norris Cole,pg30_Cole,NOP
Omer Asik,AsikOmer,NOP
Ryan Anderson,ryananderson33,NOP
Toney Douglas,None,NOP
Tyreke Evans,TyrekeEvans,NOP
Aaron Gordon,Double0AG,ORL
Andrew Nicholson,nicholaf44,ORL
C.J. Watson,Quietstorm_32,ORL
Channing Frye,Channing_Frye,ORL
Devyn Marble,DevMarble,ORL
Dewayne Dedmon,d_dedmon3,ORL
Elfrid Payton,elfrid,ORL
Evan Fournier,EvanFourmizz,ORL
Jason Smith,JasonSmith014,ORL
Keith Appling,keith11appling,ORL
Mario Hezonja,MarioHezonja,ORL
Nikola Vucevic,NikolaVucevic,ORL
Shabazz Napier,ShabazzNapier,ORL
Tobias Harris,tobias31,ORL
Victor Oladipo,VicOladipo,ORL
Al-Farouq Aminu,farouq1,POR
Allen Crabbe,allencrabbe,POR
C.J. McCollum,CJMcCollum,POR
Chris Kaman,ChrisKaman,POR
Cliff Alexander,CAlexander,POR
Damian Lillard,Dame_Lillard,POR
Ed Davis,eddavis32,POR
Gerald Henderson,GhJr09,POR
Luis Montero,None,POR
Mason Plumlee,masonplumlee,POR
Maurice Harkless,moe_harkless,POR
Meyers Leonard,MeyersLeonard11,POR
Noah Vonleh,NoahVonleh,POR
Pat Connaughton,PlanetPat5,POR
Tim Frazier,psufraz23,POR
Anthony Bennett,AnthonyBennett,TOR
Bismack Biyombo,bismackbiyombo0,TOR
Bruno Caboclo,Bruno_Caboclo,TOR
Cory Joseph,Cory_Joe,TOR
Delon Wright,delonwright,TOR
DeMar DeRozan,DeMar_DeRozan,TOR
DeMarre Carroll,DeMarreCarroll1,TOR
James Johnson,IamJJ3,TOR
Jonas Valanciunas,JValanciunas,TOR
Kyle Lowry,Klow7,TOR
Lucas Nogueira,Bebe92,TOR
Luis Scola,LScola4,TOR
Norman Powell,npowell2404,TOR
Patrick Patterson,pdpatt,TOR
Terrence Ross,T_DotFlight31,TOR
Bradley Beal,RealDealBeal23,WAS
DeJuan Blair,DeJuan45,WAS
Drew Gooden,DrewGooden,WAS
Garrett Temple,GTemp14,WAS
Gary Neal,gneal1414,WAS
Jared Dudley,JaredDudley619,WAS
Jarell Eddie,J_Ed31,WAS
John Wall,JohnWall,WAS
Kelly Oubre,KELLYOUBREJR,WAS
Kris Humphries,KrisHumphries,WAS
Marcin Gortat,MGortat,WAS
Nene Hilario,NeneHilario42,WAS
Otto Porter,OttoPorter,WAS
Ramon Sessions,SessionsRamon,WAS
Andrea Bargnani,AndreaBargnani,BRK
Brook Lopez,None,BRK
Donald Sloan,dsloan15,BRK
Jarrett Jack,Jarrettjack03,BRK
Joe Johnson,TheJoeJohnson7,BRK
Markel Brown,iMarkelBrown22,BRK
Rondae Hollis-Jefferson,None,BRK
Thaddeus Young,yungsmoove21,BRK
Thomas Robinson,Trobinson0,BRK
Wayne Ellington,WayneElli22,BRK
Anderson Varejao,VAREJAOANDERSON,CLE
Iman Shumpert,I_Am_Iman4,CLE
J.R. Smith,TheRealJRSmith,CLE
Jared Cunningham,J1Flight,CLE
Joe Harris,joeharrisuva,CLE
Kevin Love,kevinlove,CLE
Kyrie Irving,KyrieIrving,CLE
LeBron James,KingJames,CLE
Matthew Dellavedova,matthewdelly,CLE
Mo Williams,mowilliams,CLE
Timofey Mozgov,None,CLE
Tristan Thompson,RealTristan13,CLE
Andre Drummond,AndreDrummondd,DET
Anthony Tolliver,ATolliver44,DET
Brandon Jennings,BRAND0NJENNINGS,DET
Jodie Meeks,Jmeeks20,DET
Kentavious Caldwell-Pope,CaldwellPope,DET
Marcus Morris,MookMorris2,DET
Reggie Bullock,ReggieBullock35,DET
Reggie Jackson,Reggie_Jackson,DET
Spencer Dinwiddie,SDinwiddie_25,DET
Stanley Johnson,iAmSJ,DET
Steve Blake,SteveBlake5,DET
C.J. Miles,masfresco,IND
Chase Budinger,CBudinger,IND
George Hill,George_Hill3,IND
Glenn Robinson III,GRIII,IND
Ian Mahinmi,ianmahinmi,IND
Jordan Hill,None,IND
Lavoy Allen,chefVOYardee,IND
Myles Turner,Original_Turner,IND
Paul George,Yg_Trece,IND
Brandan Wright,bwright34,MEM
Courtney Lee,CourtneyLee2211,MEM
Elliot Williams,ewill901,MEM
Jarell Martin,MartinJarell,MEM
Jarnell Stokes,JarnellStokes,MEM
Jeff Green,jeff_green22,MEM
Jordan Adams,jordanadams1231,MEM
Marc Gasol,MarcGasol,MEM
Matt Barnes,Matt_Barnes22,MEM
Mike Conley,mconley11,MEM
Russ Smith,None,MEM
Ryan Hollins,TheRyanHollins,MEM
Tony Allen,aa000G9,MEM
Vince Carter,mrvincecarter15,MEM
Zach Randolph,MacBo50,MEM
Adreian Payne,Adreian_Payne,MIN
Andrew Wiggins,22wiggins,MIN
Karl-Anthony Towns,KarlTowns,MIN
Ricky Rubio,rickyrubio9,MIN
Tyus Jones,Tyusjones06,MIN
Zach LaVine,ZachLaVine,MIN
Anthony Morrow,MrAnthonyMorrow,OKC
Cameron Payne,campayne,OKC
Dion Waiters,dionwaiters3,OKC
Enes Kanter,Enes_Kanter,OKC
Kevin Durant,KDTrey5,OKC
Kyle Singler,KyleSingler,OKC
Mitch McGary,mitchmcgary,OKC
Nick Collison,nickcollison4,OKC
Russell Westbrook,russwest44,OKC
Serge Ibaka,sergeibaka9,OKC
Steve Novak,None,OKC
Steven Adams,RealStevenAdams,OKC
Alex Len,alexlen,PHO
Archie Goodwin,A1Laflare10,PHO
Brandon Knight,Goodknight11,PHO
Cory Jefferson,CoryJay34,PHO
Devin Booker,DevinBook,PHO
Eric Bledsoe,EBled2,PHO
Jon Leuer,JLeu30,PHO
Markieff Morris,Keefmorris,PHO
Sonny Weems,Sonny13,PHO
T.J. Warren,TonyWarrenJr,PHO
Tyson Chandler,tysonchandler,PHO
Boris Diaw,theborisdiaw,SAS
Danny Green,DGreen_14,SAS
David West,D_West30,SAS
Kawhi Leonard,kawhileonard,SAS
Kyle Anderson,KyleAnderson5,SAS
LaMarcus Aldridge,None,SAS
Manu Ginobili,manuginobili,SAS
Patrick Mills,Patty_Mills,SAS
Rasual Butler,RasualButler45,SAS
Ray McCallum,RayMac3,SAS
Tony Parker,tonyparker,SAS
Alec Burks,AlecBurks10,UTA
Derrick Favors,dfavors14,UTA
Gordon Hayward,gordonhayward,UTA
Jeff Withey,JeffWithey,UTA
Joe Ingles,Joeingles7,UTA
Rodney Hood,Rodney_hood,UTA
Trevor Booker,35_Fitz,UTA
Trey Burke,TreyBurke,UTA
Trey Lyles,TreyMambaLyles,UTA
Bojan Bogdanovic,44Bojan,BRK
Sergey Karasev,SKgetbuckets,BRK
Shane Larkin,ShaneLarkin_3,BRK
Willie Reed,ShowtimeReed33,BRK
James Jones,None,CLE
Richard Jefferson,None,CLE
Sasha Kaun,None,CLE
Aron Baynes,aronbaynes,DET
Darrun Hilliard,None,DET
Ersan Ilyasova,ErsanIlyasova7,DET
Joel Anthony,None,DET
Joseph Young,None,IND
Monta Ellis,None,IND
Rodney Stuckey,None,IND
Shayne Whittington,Whittington21,IND
Solomon Hill,solohill,IND
Beno Udrih,BenoUdrih1,MEM
James Ennis,JamesDa_Truth,MEM
JaMychal Green,Jmyke1,MEM
Andre Miller,None,MIN
Damjan Rudez,Damjan_Rudez,MIN
Gorgui Dieng,GorguiDieng,MIN
Kevin Garnett,None,MIN
Kevin Martin,None,MIN
Nemanja Bjelica,Bjelica88,MIN
Nikola Pekovic,None,MIN
Shabazz Muhammad,ShabazzMuhammad,MIN
Tayshaun Prince,None,MIN
Andre Roberson,FlyDre21,OKC
D.J. Augustin,None,OKC
Bryce Cotton,None,PHO
Lorenzo Brown,Zo_Brown,PHO
Mirza Teletovic,Teletovic33,PHO
P.J. Tucker,None,PHO
Ronnie Price,None,PHO
Boban Marjanovic,None,SAS
Jonathon Simmons,None,SAS
Matt Bonner,None,SAS
Tim Duncan,None,SAS
Chris Johnson,None,UTA
Elijah Millsap,Elijah_Millsap,UTA
J.J. O'Brien,None,UTA
Raul Neto,RaulTogni,UTA
Rudy Gobert,rudygobert27,UTA
Tibor Pleiss,None,UTA
